datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-02,4075.1898,4075.1898,4030.3787,4030.3787,16713652455,INITIAL,,
2024-01-03,4021.5363,4031.1826,4000.5525,4018.7277,15523772041,TREND_DOWN,,
2024-01-04,4014.2266,4014.2266,3962.0286,3979.079,14807729322,TREND_DOWN,,
2024-01-05,3972.1151,3994.2689,3933.6646,3946.3877,16211963534,TREND_DOWN,,
2024-01-08,3938.9183,3938.9183,3888.1771,3888.8039,15351319846,TREND_DOWN,,
2024-01-10,3891.3639,3910.3359,3865.5564,3878.4557,14719281162,TREND_DOWN_(M),BOTTOM,Bx
2024-01-11,3876.1147,3923.729,3868.5431,3910.3855,15328400068,TREND_UP,,
2024-01-12,3897.7105,3926.5451,3894.8639,3894.8639,13605107465,TREND_UP,TOP,Tx
2024-01-15,3878.3966,3910.1879,3873.8691,3889.0049,12124091272,TREND_DOWN,,
2024-01-16,3880.0548,3904.4359,3856.0771,3902.6403,14606648244,TREND_DOWN,,
2024-01-17,3891.4358,3891.4358,3810.0647,3810.0647,14040500476,TREND_DOWN,,
2024-01-18,3790.7496,3858.2257,3743.2011,3858.2257,21893346549,TREND_DOWN,BOTTOM,Bx
2024-01-19,3843.9612,3869.0192,3835.3785,3846.4827,15473468069,TREND_UP,TOP,
2024-01-22,3837.821,3837.821,3757.8915,3758.4943,19244018195,TREND_DOWN,,
2024-01-24,3747.4591,3831.1498,3726.4197,3831.1498,16668651613,TREND_DOWN_(M),BOTTOM,Bx
2024-01-29,3828.6449,3916.8155,3828.6449,3846.0966,24394461105,TREND_UP_(M),TOP,
2024-01-30,3823.1305,3832.5228,3772.6668,3772.6668,17846039102,TREND_DOWN,,
2024-01-31,3755.1892,3779.8792,3713.6742,3720.8242,20504557170,TREND_DOWN,,
2024-02-01,3704.2291,3764.755,3690.9848,3721.228,18995294390,TREND_DOWN,,
2024-02-02,3724.3411,3736.2269,3616.8992,3663.7745,22643745414,TREND_DOWN,,
2024-02-05,3643.0539,3718.3393,3573.3667,3663.4141,27044668933,TREND_DOWN,BOTTOM,B
2024-02-06,3641.682,3826.1522,3641.682,3825.4068,27388860415,TREND_UP,,
2024-02-07,3829.7196,3902.1923,3829.7196,3902.1923,30634714421,TREND_UP,,
2024-02-08,3913.362,3960.9588,3908.7901,3934.2465,27928105835,TREND_UP,,
2024-02-19,3977.8369,3977.8369,3939.4687,3976.7349,25796034328,TREND_UP,,
2024-02-20,3962.6637,3982.0093,3944.528,3978.074,19165577287,TREND_UP,,
2024-02-26,3952.4445,4077.7166,3952.4445,4034.638,24890755721,TREND_UP_(M),,
2024-02-27,4018.2984,4094.5465,4018.2984,4094.5465,21323904829,TREND_UP,,
2024-02-28,4100.2707,4130.1741,4026.9636,4026.9636,28588740400,TREND_UP,TOP,Tx
2024-02-29,4010.7221,4118.9607,4010.7221,4118.9607,22934157754,TREND_DOWN,BOTTOM,Bx
2024-03-01,4118.5053,4150.7124,4114.7741,4147.9238,23186138177,TREND_UP,,
2024-03-04,4151.1499,4158.5932,4125.8258,4156.2152,23651745107,TREND_UP,,
2024-03-05,4135.3015,4173.5186,4135.3015,4170.8222,24033242390,TREND_UP,,
2024-03-06,4157.8226,4181.3497,4147.2945,4158.0837,20364313054,TREND_UP,TOP,Tx
2024-03-07,4155.571,4175.1592,4122.0405,4124.0808,22389905020,TREND_DOWN,,
2024-03-08,4125.1265,4155.3969,4110.2232,4152.9035,19039429268,TREND_DOWN,BOTTOM,
2024-03-11,4153.0548,4212.4962,4153.0548,4212.4962,22486441895,TREND_UP,,
2024-03-12,4217.7509,4233.1055,4200.2978,4221.119,25753486055,TREND_UP,TOP,Tx
2024-03-14,4219.9372,4224.0405,4169.3385,4189.2482,22969401729,TREND_DOWN_(M),,
2024-03-15,4179.501,4209.1054,4154.5213,4207.0455,21830336278,TREND_DOWN,BOTTOM,
2024-03-18,4217.9955,4250.5005,4217.6803,4250.2152,24680417587,TREND_UP,,
2024-03-19,4238.5976,4254.5653,4217.7019,4217.7019,23733176613,TREND_UP,TOP,T
2024-03-20,4207.4089,4231.9839,4207.4089,4229.9007,20890980628,TREND_DOWN,BOTTOM,
2024-03-21,4240.6811,4242.5328,4213.4846,4219.376,20818149227,TREND_UP,TOP,
2024-03-22,4207.5327,4207.5327,4152.8456,4176.0562,22509423255,TREND_DOWN,,
2024-03-25,4166.9087,4197.6179,4142.6672,4142.6672,21588928582,TREND_DOWN,,
2024-03-26,4142.2704,4159.4963,4131.1837,4157.1085,19586807439,TREND_DOWN,,
2024-03-28,4152.1147,4152.1147,4089.3403,4127.8593,19062661218,TREND_DOWN_(M),BOTTOM,Bx
2024-03-29,4124.5957,4154.618,4124.5957,4154.5404,18752564306,TREND_UP,,
2024-04-03,4172.2412,4231.9053,4172.2412,4200.941,23782747195,TREND_UP_(M),TOP,Tx
2024-04-08,4186.0616,4201.2764,4158.937,4158.937,24220822694,TREND_DOWN,,
2024-04-16,4154.9908,4159.7091,4092.0623,4107.536,19721790641,TREND_DOWN_(M),BOTTOM,
2024-04-17,4110.4004,4186.0503,4110.4004,4185.715,23724569082,TREND_UP,,
2024-04-18,4166.6663,4222.4951,4166.6663,4186.6441,24272907999,TREND_UP,TOP,Tx
2024-04-19,4164.7224,4176.8765,4142.0698,4156.6367,21959194111,TREND_DOWN,,
2024-04-22,4146.969,4172.2196,4134.8164,4136.6985,21596164349,TREND_DOWN,,
2024-04-23,4128.2686,4128.2686,4094.6457,4101.9071,20770377894,TREND_DOWN,BOTTOM,B
2024-04-24,4109.146,4128.7092,4095.8198,4128.7092,18543040390,TREND_UP,,
2024-04-25,4113.8511,4149.3317,4111.4162,4135.8895,17911906008,TREND_UP,,
2024-04-26,4134.194,4204.8511,4134.194,4204.2614,26003433989,TREND_UP,,
2024-04-30,4204.8508,4275.8352,4204.8508,4232.6885,29710994208,TREND_UP_(M),,
2024-05-06,4289.7132,4308.441,4286.6949,4301.8884,28371906921,TREND_UP,,
2024-05-07,4301.9171,4312.3254,4293.7199,4304.1492,22970546633,TREND_UP,TOP,Tx
2024-05-08,4293.8573,4293.8573,4260.776,4261.3899,19201723118,TREND_DOWN,BOTTOM,Bx
2024-05-09,4262.2896,4315.2218,4262.2896,4311.9186,21179650545,TREND_UP,,
2024-05-10,4317.6755,4317.6755,4280.802,4305.791,21063115979,TREND_UP,TOP,Tx
2024-05-13,4280.3869,4303.0181,4270.6951,4293.7661,21133940372,TREND_DOWN,BOTTOM,
2024-05-14,4299.0282,4306.4138,4278.305,4285.7992,19053357576,TREND_UP,TOP,
2024-05-15,4277.5085,4278.6334,4249.9699,4251.0016,17363462011,TREND_DOWN,BOTTOM,
2024-05-17,4263.5479,4307.9434,4253.6221,4307.9434,20994322564,TREND_UP_(M),,
2024-05-20,4313.0345,4331.9685,4310.8213,4326.8816,25181309998,TREND_UP,TOP,T
2024-05-21,4316.7856,4316.7856,4293.1842,4302.3319,18991760923,TREND_DOWN,,
