datetime,open,high,low,close,volume,kline_status
2024-01-02,7.33,7.38,7.23,7.27,25436294.0,INITIAL
2024-01-03,7.25,7.31,7.18,7.26,18064582.0,TREND_DOWN
2024-01-04,7.26,7.26,7.15,7.21,16808982.0,TREND_DOWN
2024-01-05,7.17,7.26,7.06,7.1,18465992.0,OUTSIDE
2024-01-08,7.1,7.11,6.93,6.95,21778992.0,TREND_DOWN
2024-01-09,6.9,7.1,6.9,6.99,20417729.0,TREND_DOWN
2024-01-10,7.42,7.45,7.13,7.2,64054125.0,TREND_UP
2024-01-11,7.17,7.38,7.14,7.33,52338075.0,INSIDE
2024-01-12,7.32,7.37,7.21,7.22,30438543.0,INSIDE
2024-01-15,7.15,7.37,7.11,7.29,32709272.0,OUTSIDE
2024-01-16,7.28,7.3,7.19,7.3,23248386.0,INSIDE
2024-01-17,7.27,7.31,7.14,7.15,22775684.0,OUTSIDE
2024-01-18,7.1,7.14,6.78,7.06,49164205.0,TREND_DOWN
2024-01-19,7.01,7.33,6.98,7.29,55743631.99999999,TREND_UP
2024-01-22,7.26,7.26,7.0,7.09,34918681.0,INSIDE
2024-01-23,7.06,7.15,6.94,7.09,27161824.0,TREND_DOWN
2024-01-24,7.16,7.25,6.99,7.23,41571584.0,TREND_UP
2024-01-25,7.26,7.84,7.19,7.68,81242562.0,TREND_UP
2024-01-26,7.59,7.62,7.39,7.42,51392021.0,INSIDE
2024-01-29,7.45,7.64,7.42,7.45,40604388.0,TREND_UP
2024-01-30,7.37,7.55,7.28,7.4,30778434.0,TREND_DOWN
2024-01-31,7.35,7.54,7.24,7.44,45054453.0,TREND_DOWN
2024-02-01,7.35,7.68,7.3,7.63,57005225.0,TREND_UP
2024-02-02,7.64,7.8,7.0,7.37,66233056.00000001,OUTSIDE
2024-02-05,7.18,7.34,6.88,7.26,53406848.0,TREND_DOWN
2024-02-06,7.1,7.78,7.04,7.66,62004982.99999999,TREND_UP
2024-02-07,7.65,8.1,7.6,8.07,98518373.0,TREND_UP
2024-02-08,8.21,8.46,7.96,8.02,106441876.0,TREND_UP
2024-02-19,8.13,8.13,7.8,7.92,74798944.0,TREND_DOWN
2024-02-20,7.85,8.01,7.82,7.98,46734499.0,INSIDE
2024-02-21,7.96,8.31,7.89,7.95,81028575.0,TREND_UP
2024-02-22,7.92,7.99,7.86,7.94,52470107.99999999,TREND_DOWN
2024-02-23,7.99,8.14,7.9,8.02,59488531.00000001,TREND_UP
2024-02-26,8.04,8.05,7.83,7.89,56264281.00000001,TREND_DOWN
2024-02-27,7.88,8.05,7.83,8.05,56942640.0,INSIDE
2024-02-28,8.08,8.3,7.92,7.92,79344407.0,TREND_UP
2024-02-29,7.87,8.22,7.86,8.22,73011240.0,TREND_DOWN
2024-03-01,8.2,8.65,8.18,8.55,107268079.0,TREND_UP
2024-03-04,8.47,8.73,8.45,8.59,75562029.0,TREND_UP
2024-03-05,8.58,8.65,8.5,8.54,48823688.0,INSIDE
2024-03-06,8.5,8.84,8.35,8.69,85857316.0,OUTSIDE
2024-03-07,8.68,8.78,8.47,8.49,49183795.0,INSIDE
2024-03-08,8.54,8.69,8.53,8.64,45175854.0,INSIDE
2024-03-11,8.63,9.17,8.58,9.02,95690940.0,TREND_UP
2024-03-12,8.93,9.01,8.82,8.9,50275567.0,INSIDE
2024-03-13,8.84,9.03,8.79,8.91,47775122.0,OUTSIDE
2024-03-14,8.85,9.02,8.83,8.86,46434150.0,INSIDE
2024-03-15,8.83,9.06,8.83,8.98,51968010.0,OUTSIDE
2024-03-18,9.04,9.38,9.02,9.22,67957084.0,TREND_UP
2024-03-19,9.17,9.21,9.01,9.02,49819085.0,TREND_DOWN
2024-03-20,8.99,9.09,8.93,9.04,30507900.0,TREND_DOWN
2024-03-21,9.04,9.16,8.9,9.07,41619308.0,OUTSIDE
2024-03-22,9.05,9.19,8.98,9.15,51470045.0,TREND_UP
2024-03-25,9.15,9.16,8.78,8.79,56873373.0,TREND_DOWN
2024-03-26,8.85,8.97,8.75,8.8,40801585.0,TREND_DOWN
2024-03-27,8.82,8.86,8.58,8.63,40999579.0,TREND_DOWN
2024-03-28,8.63,8.88,8.61,8.77,32175383.0,TREND_UP
2024-03-29,8.74,8.8,8.55,8.63,39267094.0,TREND_DOWN
2024-04-01,8.67,8.89,8.66,8.8,36690208.0,TREND_UP
2024-04-02,8.65,8.79,8.41,8.76,52012816.0,TREND_DOWN
2024-04-03,8.7,8.89,8.67,8.79,34910152.0,TREND_UP
2024-04-08,8.72,8.78,8.57,8.6,36681424.0,TREND_DOWN
2024-04-09,8.54,8.75,8.53,8.69,26392697.0,TREND_DOWN
2024-04-10,8.7,8.78,8.51,8.57,28202470.0,OUTSIDE
2024-04-11,8.55,8.72,8.48,8.62,28217517.0,TREND_DOWN
2024-04-12,8.62,8.74,8.6,8.63,27822557.0,TREND_UP
2024-04-15,8.65,8.86,8.49,8.76,46158161.0,OUTSIDE
2024-04-16,8.79,8.81,8.35,8.41,58311109.0,TREND_DOWN
2024-04-17,8.35,8.54,8.25,8.46,69500653.0,TREND_DOWN
2024-04-18,8.45,8.67,8.32,8.59,70653328.0,TREND_UP
2024-04-19,8.6,8.68,8.43,8.48,36477041.0,TREND_UP
2024-04-22,8.5,8.53,8.27,8.3,37827642.0,TREND_DOWN
2024-04-23,8.34,8.36,8.11,8.2,33848600.0,TREND_DOWN
2024-04-24,8.2,8.28,8.15,8.21,28962220.0,INSIDE
2024-04-25,8.16,8.24,8.04,8.2,28546400.0,TREND_DOWN
2024-04-26,8.16,8.47,8.16,8.42,39012807.0,TREND_UP
2024-04-29,8.43,8.87,8.41,8.75,53434361.0,TREND_UP
2024-04-30,8.77,8.81,8.63,8.75,29356079.0,INSIDE
2024-05-06,8.88,8.91,8.7,8.76,43654534.0,TREND_UP
2024-05-07,8.76,8.93,8.73,8.77,32180796.0,TREND_UP
2024-05-08,8.73,8.75,8.42,8.43,38411754.0,TREND_DOWN
2024-05-09,8.42,8.72,8.42,8.68,33685842.0,INSIDE
2024-05-10,8.73,8.8,8.67,8.7,27947495.0,TREND_UP
2024-05-13,8.65,8.66,8.47,8.52,28463220.0,TREND_DOWN
2024-05-14,8.47,8.57,8.39,8.48,22926079.0,TREND_DOWN
2024-05-15,8.45,8.49,8.39,8.4,18119431.0,INSIDE
2024-05-16,8.39,8.44,8.29,8.31,24404211.0,TREND_DOWN
2024-05-17,8.31,8.49,8.3,8.45,29959770.0,TREND_UP
2024-05-20,8.43,8.48,8.27,8.31,33029780.0,TREND_DOWN
2024-05-21,8.31,8.33,8.18,8.24,22199536.0,TREND_DOWN
2024-05-22,8.24,8.28,8.17,8.23,17708800.0,TREND_DOWN
2024-05-23,8.2,8.22,8.02,8.05,26337094.0,TREND_DOWN
2024-05-24,8.06,8.15,7.97,8.0,23206000.0,TREND_DOWN
2024-05-27,8.17,8.23,8.0,8.14,41903883.0,TREND_UP
2024-05-28,8.08,8.08,7.78,7.88,56746891.0,TREND_DOWN
2024-05-29,7.87,7.93,7.82,7.87,27118000.0,INSIDE
2024-05-30,7.87,8.06,7.8,8.04,40001295.0,OUTSIDE
2024-05-31,8.07,8.1,7.87,7.88,32135092.0,TREND_UP
2024-06-03,8.01,8.22,7.92,8.14,55963731.00000001,TREND_UP
2024-06-04,8.15,8.32,8.03,8.3,44654355.0,TREND_UP
2024-06-05,8.3,8.37,8.25,8.26,27714346.0,TREND_UP
2024-06-06,8.33,8.35,8.17,8.19,32495683.0,TREND_DOWN
2024-06-07,8.29,8.45,8.26,8.42,38771190.0,TREND_UP
2024-06-11,8.4,8.52,8.3,8.48,36955541.0,TREND_UP
2024-06-12,8.56,8.69,8.46,8.5,42350020.0,TREND_UP
2024-06-13,8.5,8.55,8.36,8.42,43005295.0,TREND_DOWN
2024-06-14,8.43,8.43,8.11,8.11,102746201.0,TREND_DOWN
2024-06-17,8.19,8.3,8.01,8.06,55964579.0,TREND_DOWN
2024-06-18,8.05,8.08,7.84,7.93,46496010.0,TREND_DOWN
