datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-02,4564.0958,4564.0958,4532.8621,4532.8621,70703080900,INITIAL,,
2024-01-03,4522.7243,4537.1178,4492.5268,4517.3972,66669505800,TREND_DOWN,,
2024-01-04,4512.3749,4512.3749,4461.7142,4483.8735,60770228300,TREND_DOWN,,
2024-01-05,4479.0116,4499.2912,4409.9117,4429.6126,68003042500,TREND_DOWN,,
2024-01-08,4420.4798,4420.4798,4353.984,4353.984,61784545275,TREND_DOWN,,
2024-01-09,4358.147,4392.6323,4339.7764,4366.0659,62212955200,TREND_DOWN,,
2024-01-10,4354.0141,4384.2842,4314.0886,4338.5867,59241658100,TREND_DOWN,BOTTOM,Bx
2024-01-11,4335.0483,4404.095,4330.0233,4388.9562,65446428000,TREND_UP,,
2024-01-12,4378.543,4411.6116,4364.5545,4364.5545,64455032400,TREND_UP,TOP,Tx
2024-01-15,4348.3029,4391.3513,4333.1411,4357.2937,57364361400,TREND_DOWN,,
2024-01-16,4351.4911,4368.8679,4306.7336,4362.7485,66468095300,TREND_DOWN,,
2024-01-17,4352.6347,4352.6347,4257.9449,4257.9449,60644630900,TREND_DOWN,,
2024-01-18,4235.7273,4282.1044,4154.4827,4278.9708,84336997500,TREND_DOWN,BOTTOM,Bx
2024-01-19,4267.9069,4290.1036,4239.7139,4248.7487,61164272800,TREND_UP,TOP,
2024-01-22,4239.7536,4239.7536,4063.1564,4092.2816,77872862600,TREND_DOWN,,
2024-01-23,4080.3456,4143.9914,4045.0736,4124.4359,69370704500,TREND_DOWN,BOTTOM,Bx
2024-01-24,4141.6821,4185.6676,4050.5336,4180.5605,78460926200,TREND_UP,,
2024-01-25,4178.9116,4292.5361,4165.9507,4291.5396,88513986800,TREND_UP,,
2024-01-26,4277.1661,4307.7782,4257.5092,4270.7665,84067898100,TREND_UP,TOP,
2024-01-29,4275.0953,4287.3027,4189.714,4189.714,81273541800,TREND_DOWN,,
2024-01-30,4162.9375,4175.873,4089.3074,4091.6608,68046220500,TREND_DOWN,,
2024-01-31,4069.1936,4094.6082,3984.7168,3990.2123,81548469100,TREND_DOWN,,
2024-02-01,3968.3681,4034.0634,3929.5718,3971.2525,75655324700,TREND_DOWN,,
2024-02-02,3974.3576,4001.9668,3771.4286,3874.7094,90217079200,TREND_DOWN,,
2024-02-05,3846.6755,3858.0267,3666.033,3769.1725,102283217000,TREND_DOWN,BOTTOM,B
2024-02-06,3725.2099,3961.8996,3706.8633,3934.9468,110356831100,TREND_UP,,
2024-02-07,3940.0655,4026.7607,3913.757,4001.382,117382034800,TREND_UP,,
2024-02-08,4013.7983,4104.6312,4009.1715,4096.4091,116443029100,TREND_UP,,
2024-02-19,4143.3078,4156.0627,4103.4566,4155.3781,102261487300,TREND_UP,,
2024-02-20,4141.1119,4180.2388,4113.5058,4173.5853,79941941900,TREND_UP,,
2024-02-22,4143.0291,4290.1485,4143.0291,4269.1985,99596660000,TREND_UP_(M),,
2024-02-23,4279.9135,4311.4331,4252.418,4308.4332,90694028100,TREND_UP,,
2024-02-28,4310.3101,4434.3981,4256.387,4256.387,97395541700,TREND_UP_(M),TOP,Tx
2024-02-29,4231.432,4375.9846,4231.432,4375.9846,98321646800,TREND_DOWN,BOTTOM,Bx
2024-03-01,4380.3109,4419.8469,4359.7689,4412.523,92650036200,TREND_UP,,
2024-03-06,4417.2134,4449.6901,4385.3707,4414.1171,92437663700,TREND_UP_(M),TOP,Tx
2024-03-07,4416.2495,4444.5923,4372.7489,4372.9602,89408839100,TREND_DOWN,,
2024-03-08,4374.327,4417.7221,4354.4769,4410.9755,75914479500,TREND_DOWN,BOTTOM,
2024-03-11,4407.9584,4480.5472,4407.9584,4480.5472,85865407400,TREND_UP,,
2024-03-12,4486.4006,4509.6197,4458.8971,4496.7715,98610767700,TREND_UP,,
2024-03-13,4496.2031,4515.1647,4464.7597,4486.1692,89720243700,TREND_UP,TOP,Tx
2024-03-15,4484.4969,4501.5813,4432.9819,4500.382,87786111900,TREND_DOWN_(M),BOTTOM,
2024-03-18,4512.7743,4561.3726,4510.5813,4561.3726,97509028800,TREND_UP,,
2024-03-19,4549.839,4573.7825,4531.8549,4531.8549,92402078700,TREND_UP,TOP,Tx
2024-03-20,4522.8355,4558.2437,4522.8355,4555.7831,86506193200,TREND_DOWN,BOTTOM,
2024-03-21,4565.4567,4574.4808,4534.0147,4551.3417,93081550400,TREND_UP,TOP,T
2024-03-22,4539.9558,4545.7043,4468.7357,4500.3241,96452163500,TREND_DOWN,,
2024-03-25,4488.0392,4516.5093,4435.3308,4435.3308,91916115400,TREND_DOWN,,
2024-03-26,4431.1336,4455.5298,4395.8507,4439.4678,83474733300,TREND_DOWN,,
2024-03-28,4432.0476,4432.4391,4337.3687,4398.9736,81564599000,TREND_DOWN_(M),BOTTOM,Bx
2024-03-29,4396.1506,4435.1966,4389.926,4435.1098,78940544300,TREND_UP,,
2024-04-03,4452.0397,4519.1738,4452.0397,4478.8871,89622390700,TREND_UP_(M),TOP,Tx
2024-04-08,4463.1279,4471.6097,4415.8747,4416.1446,88783239400,TREND_DOWN,,
2024-04-09,4411.2872,4440.5141,4400.1451,4439.7638,74987519900,TREND_DOWN,,
