datetime,open,high,low,close,volume,kline_status
2019-03-29,3.065,3.07,3.06,3.06,2900.0,INITIAL
2019-04-01,3.105,3.13,3.105,3.13,1700.0,TREND_UP
2019-04-02,3.15,3.17,3.15,3.165,1600.0,TREND_UP
2019-04-08,3.17,3.255,3.17,3.245,1900.0,TREND_UP_(M)
2019-04-09,3.265,3.29,3.265,3.29,1800.0,TREND_UP
2019-04-10,3.3,3.33,3.28,3.31,2300.0,TREND_UP
2019-04-11,3.28,3.285,3.27,3.27,2500.0,TREND_DOWN
2019-04-12,3.275,3.35,3.275,3.345,4400.0,TREND_UP
2019-04-15,3.38,3.38,3.37,3.37,1200.0,TREND_UP
2019-04-17,3.38,3.42,3.38,3.38,3300.0,TREND_UP_(M)
2019-04-19,3.36,3.375,3.35,3.37,5600.0,TREND_DOWN_(M)
2019-04-22,3.395,3.41,3.38,3.41,6600.0,TREND_UP
2019-04-25,3.415,3.44,3.4,3.415,5300.0,TREND_UP_(M)
2019-04-26,3.405,3.405,3.395,3.3975,4900.0,TREND_DOWN
2019-04-28,3.39,3.39,3.39,3.39,100.0,TREND_DOWN
2019-04-29,3.4,3.425,3.4,3.4225,2700.0,TREND_UP
2019-04-30,3.41,3.41,3.36,3.38,4600.0,TREND_DOWN
2019-05-06,3.35,3.35,3.33,3.35,6800.0,TREND_DOWN
2019-05-07,3.35,3.355,3.345,3.35,1700.0,TREND_UP
2019-05-08,3.33,3.345,3.31,3.31,3700.0,TREND_DOWN
2019-05-09,3.32,3.325,3.29,3.295,5200.0,TREND_DOWN
2019-05-10,3.3,3.33,3.3,3.305,2500.0,TREND_UP
2019-05-14,3.28,3.28,3.25,3.28,1600.0,TREND_DOWN_(M)
2019-05-15,3.3,3.3,3.27,3.27,3900.0,TREND_UP
2019-05-20,3.265,3.265,3.25,3.265,1300.0,TREND_DOWN_(M)
2019-05-21,3.29,3.3,3.29,3.29,2400.0,TREND_UP
2019-05-22,3.31,3.32,3.3,3.31,5200.0,TREND_UP
2019-05-23,3.3025,3.3025,3.295,3.295,3000.0,TREND_DOWN
2019-05-24,3.31,3.31,3.3,3.31,2100.0,TREND_UP
2019-05-28,3.35,3.355,3.31,3.31,1400.0,TREND_UP_(M)
2019-05-29,3.285,3.3,3.28,3.285,4600.0,TREND_DOWN
2019-05-31,3.285,3.285,3.265,3.275,1900.0,TREND_DOWN_(M)
2019-06-03,3.25,3.255,3.235,3.24,2400.0,TREND_DOWN
2019-06-10,3.2425,3.2425,3.205,3.225,6300.0,TREND_DOWN_(M)
2019-06-12,3.25,3.27,3.245,3.245,2700.0,TREND_UP_(M)
2019-06-13,3.2425,3.2475,3.2425,3.2425,3500.0,TREND_DOWN
2019-06-14,3.24,3.24,3.225,3.225,3400.0,TREND_DOWN
2019-06-17,3.22,3.23,3.215,3.23,2200.0,TREND_DOWN
2019-06-19,3.235,3.25,3.235,3.245,5400.0,TREND_UP_(M)
2019-06-20,3.2375,3.2375,3.215,3.2375,10300.0,TREND_DOWN
2019-06-21,3.24,3.24,3.225,3.23,8000.0,TREND_UP
2019-06-24,3.235,3.2475,3.235,3.2475,6200.0,TREND_UP
2019-06-25,3.24,3.24,3.23,3.2375,5200.0,TREND_DOWN
2019-06-26,3.24,3.245,3.2375,3.245,5300.0,TREND_UP
2019-06-27,3.24,3.255,3.24,3.255,5000.0,TREND_UP
2019-06-28,3.25,3.25,3.225,3.225,6100.0,TREND_DOWN
2019-07-01,3.245,3.245,3.2225,3.2225,5900.0,TREND_DOWN
2019-07-02,3.225,3.225,3.17,3.17,12400.0,TREND_DOWN
2019-07-04,3.17,3.17,3.145,3.145,5500.0,TREND_DOWN_(M)
2019-07-05,3.155,3.175,3.155,3.17,5600.0,TREND_UP
2019-07-08,3.19,3.19,3.165,3.1825,6800.0,TREND_UP
2019-07-09,3.1825,3.1825,3.1625,3.1625,5900.0,TREND_DOWN
2019-07-18,3.17,3.17,3.14,3.1575,2900.0,TREND_DOWN_(M)
2019-07-19,3.1575,3.1725,3.155,3.155,11500.0,TREND_UP
2019-07-22,3.16,3.16,3.1475,3.1475,5200.0,TREND_DOWN
2019-07-23,3.14,3.1525,3.1325,3.1525,8300.0,TREND_DOWN
2019-07-26,3.155,3.17,3.155,3.165,6200.0,TREND_UP_(M)
2019-07-29,3.165,3.1825,3.165,3.18,4900.0,TREND_UP
2019-07-30,3.19,3.19,3.175,3.175,7200.0,TREND_UP
2019-07-31,3.17,3.17,3.154,3.156,10400.0,TREND_DOWN
2019-08-01,3.155,3.16,3.143,3.143,9100.0,TREND_DOWN
2019-08-02,3.11,3.11,3.0875,3.0875,11100.0,TREND_DOWN
2019-08-05,3.095,3.095,3.05,3.055,6700.0,TREND_DOWN
2019-08-08,3.02,3.055,3.02,3.045,7800.0,TREND_DOWN_(M)
2019-08-12,3.04,3.04,3.01,3.01,8000.0,TREND_DOWN_(M)
2019-08-15,3.0,3.01,2.98,3.005,5000.0,TREND_DOWN_(M)
2019-08-16,3.015,3.025,3.0125,3.0225,4000.0,TREND_UP
