datetime,open,high,low,close,volume,kline_status
2019-03-29,3.065,3.07,3.06,3.06,2900.0,INITIAL
2019-04-01,3.105,3.13,3.105,3.13,1700.0,TREND_UP
2019-04-02,3.15,3.17,3.15,3.165,1600.0,TREND_UP
2019-04-03,3.17,3.255,3.17,3.24,1900.0,TREND_UP
2019-04-04,3.25,3.2525,3.25,3.2525,3000.0,INSIDE
2019-04-08,3.25,3.25,3.24,3.245,1100.0,TREND_DOWN
2019-04-09,3.265,3.29,3.265,3.29,1800.0,TREND_UP
2019-04-10,3.3,3.33,3.28,3.31,2300.0,TREND_UP
2019-04-11,3.28,3.285,3.27,3.27,2500.0,TREND_DOWN
2019-04-12,3.275,3.35,3.275,3.345,4400.0,TREND_UP
2019-04-15,3.38,3.38,3.37,3.37,1200.0,TREND_UP
2019-04-16,3.38,3.3975,3.38,3.39,3300.0,TREND_UP
2019-04-17,3.395,3.42,3.365,3.38,7800.0,OUTSIDE
2019-04-18,3.36,3.375,3.35,3.35,5600.0,TREND_DOWN
2019-04-19,3.36,3.375,3.35,3.37,6400.0,INSIDE
2019-04-22,3.395,3.41,3.38,3.41,6600.0,TREND_UP
2019-04-23,3.415,3.42,3.395,3.4,5300.0,TREND_UP
2019-04-24,3.39,3.44,3.39,3.43,1900.0,OUTSIDE
2019-04-25,3.415,3.425,3.4,3.415,3900.0,INSIDE
2019-04-26,3.405,3.405,3.395,3.3975,4900.0,TREND_DOWN
2019-04-28,3.39,3.39,3.39,3.39,100.0,TREND_DOWN
2019-04-29,3.4,3.425,3.4,3.4225,2700.0,TREND_UP
2019-04-30,3.41,3.41,3.36,3.38,4600.0,TREND_DOWN
2019-05-06,3.35,3.35,3.33,3.35,6800.0,TREND_DOWN
2019-05-07,3.35,3.355,3.345,3.35,1700.0,TREND_UP
2019-05-08,3.33,3.345,3.31,3.31,3700.0,TREND_DOWN
2019-05-09,3.32,3.325,3.29,3.295,5200.0,TREND_DOWN
2019-05-10,3.3,3.33,3.3,3.305,2500.0,TREND_UP
2019-05-13,3.28,3.28,3.26,3.265,1600.0,TREND_DOWN
2019-05-14,3.25,3.285,3.25,3.28,3500.0,OUTSIDE
2019-05-15,3.3,3.3,3.27,3.27,3900.0,TREND_UP
2019-05-16,3.265,3.265,3.25,3.26,1300.0,TREND_DOWN
2019-05-17,3.25,3.2625,3.25,3.26,1700.0,INSIDE
2019-05-20,3.26,3.265,3.26,3.265,1100.0,TREND_UP
2019-05-21,3.29,3.3,3.29,3.29,2400.0,TREND_UP
2019-05-22,3.31,3.32,3.3,3.31,5200.0,TREND_UP
2019-05-23,3.3025,3.3025,3.295,3.295,3000.0,TREND_DOWN
2019-05-24,3.31,3.31,3.3,3.31,2100.0,TREND_UP
2019-05-27,3.35,3.355,3.3425,3.35,1400.0,TREND_UP
2019-05-28,3.325,3.355,3.3075,3.31,4600.0,OUTSIDE
2019-05-29,3.285,3.3,3.28,3.285,4600.0,TREND_DOWN
2019-05-30,3.285,3.2925,3.265,3.275,1900.0,TREND_DOWN
2019-05-31,3.27,3.285,3.27,3.275,1200.0,INSIDE
2019-06-03,3.25,3.255,3.235,3.24,2400.0,TREND_DOWN
2019-06-04,3.2425,3.25,3.205,3.21,6300.0,TREND_DOWN
2019-06-05,3.21,3.225,3.205,3.205,4300.0,INSIDE
2019-06-06,3.2175,3.22,3.205,3.2175,2200.0,INSIDE
2019-06-10,3.225,3.225,3.22,3.225,1500.0,TREND_UP
2019-06-11,3.25,3.27,3.245,3.27,2700.0,TREND_UP
2019-06-12,3.26,3.265,3.245,3.245,4000.0,INSIDE
2019-06-13,3.2425,3.2475,3.2425,3.2425,3500.0,TREND_DOWN
2019-06-14,3.24,3.24,3.225,3.225,3400.0,TREND_DOWN
2019-06-17,3.22,3.23,3.215,3.23,2200.0,TREND_DOWN
2019-06-18,3.235,3.25,3.2275,3.2275,5400.0,TREND_UP
2019-06-19,3.25,3.25,3.235,3.245,4800.0,INSIDE
2019-06-20,3.2375,3.2375,3.215,3.2375,10300.0,TREND_DOWN
2019-06-21,3.24,3.24,3.225,3.23,8000.0,TREND_UP
2019-06-24,3.235,3.2475,3.235,3.2475,6200.0,TREND_UP
2019-06-25,3.24,3.24,3.23,3.2375,5200.0,TREND_DOWN
2019-06-26,3.24,3.245,3.2375,3.245,5300.0,TREND_UP
2019-06-27,3.24,3.255,3.24,3.255,5000.0,TREND_UP
2019-06-28,3.25,3.25,3.225,3.225,6100.0,TREND_DOWN
2019-07-01,3.245,3.245,3.2225,3.2225,5900.0,TREND_DOWN
2019-07-02,3.225,3.225,3.17,3.17,12400.0,TREND_DOWN
2019-07-03,3.17,3.17,3.145,3.16,5500.0,TREND_DOWN
2019-07-04,3.15,3.1675,3.145,3.145,7200.0,INSIDE
2019-07-05,3.155,3.175,3.155,3.17,5600.0,TREND_UP
2019-07-08,3.19,3.19,3.165,3.1825,6800.0,TREND_UP
2019-07-09,3.1825,3.1825,3.1625,3.1625,5900.0,TREND_DOWN
