datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-01-03,2.5675,2.57,2.542,2.55,141500,INITIAL,,
2024-01-04,2.55,2.5525,2.5275,2.53,193700,TREND_DOWN,,
2024-01-08,2.53,2.53,2.5075,2.514,192900,TREND_DOWN_(M),,
2024-01-11,2.514,2.514,2.483,2.505,239200,TREND_DOWN_(M),BOTTOM,Bx
2024-01-12,2.505,2.523,2.4975,2.5215,241700,TREND_UP,,
2024-01-16,2.5215,2.535,2.52,2.525,254200,TREND_UP_(M),TOP,Tx
2024-01-17,2.525,2.5275,2.504,2.506,250900,TREND_DOWN,,
2024-01-18,2.506,2.511,2.499,2.5075,246300,TREND_DOWN,,
2024-01-19,2.5075,2.509,2.4975,2.504,246700,TREND_DOWN,,
2024-01-22,2.504,2.505,2.489,2.4935,275000,TREND_DOWN,BOTTOM,
2024-01-25,2.4935,2.5135,2.4935,2.499,249500,TREND_UP_(M),TOP,Tx
2024-01-29,2.499,2.5,2.4875,2.488,180500,TREND_DOWN_(M),,
2024-01-30,2.488,2.49,2.44,2.446,293200,TREND_DOWN,,
2024-02-02,2.446,2.446,2.41,2.42,322700,TREND_DOWN_(M),,
2024-02-05,2.42,2.4101,2.393,2.395,231400,TREND_DOWN,BOTTOM,Bx
2024-02-22,2.395,2.4585,2.395,2.401,308100,TREND_UP_(M),TOP,
2024-02-26,2.401,2.404,2.37,2.375,309300,TREND_DOWN_(M),,
2024-02-27,2.375,2.38,2.36,2.375,279200,TREND_DOWN,,
2024-02-28,2.375,2.3775,2.35,2.355,265700,TREND_DOWN,,
2024-02-29,2.355,2.356,2.339,2.351,308700,TREND_DOWN,BOTTOM,Bx
2024-03-04,2.351,2.387,2.351,2.36,298300,TREND_UP_(M),TOP,
2024-03-05,2.36,2.3625,2.325,2.325,361600,TREND_DOWN,,
2024-03-06,2.325,2.3275,2.2675,2.2675,314100,TREND_DOWN,,
2024-03-08,2.2675,2.299,2.2475,2.294,326200,TREND_DOWN_(M),BOTTOM,Bx
2024-03-11,2.294,2.3175,2.2785,2.308,290500,TREND_UP,,
2024-03-12,2.308,2.365,2.308,2.3525,357800,TREND_UP,,
2024-03-15,2.3525,2.37,2.33,2.3425,358900,TREND_UP_(M),TOP,
2024-03-18,2.3425,2.35,2.31,2.315,273200,TREND_DOWN,,
2024-03-19,2.315,2.3275,2.3,2.315,238800,TREND_DOWN,BOTTOM,
2024-03-22,2.315,2.3375,2.3125,2.335,157600,TREND_UP_(M),,
2024-03-25,2.335,2.35,2.328,2.347,145800,TREND_UP,TOP,Tx
2024-03-27,2.347,2.347,2.284,2.2925,94300,TREND_DOWN_(M),,
2024-03-29,2.2925,2.305,2.278,2.2925,126000,TREND_DOWN_(M),BOTTOM,Bx
2024-04-01,2.2925,2.313,2.3025,2.305,182700,TREND_UP,TOP,
2024-04-02,2.305,2.309,2.291,2.293,145500,TREND_DOWN,,
2024-04-08,2.293,2.295,2.28,2.2875,169300,TREND_DOWN_(M),,
2024-04-09,2.2875,2.2925,2.276,2.2925,206700,TREND_DOWN,BOTTOM,Bx
2024-04-11,2.2925,2.3085,2.289,2.29,337100,TREND_UP_(M),TOP,
2024-04-12,2.29,2.29,2.2745,2.2775,256300,TREND_DOWN,,
2024-04-15,2.2775,2.2825,2.27,2.279,256700,TREND_DOWN,,
2024-04-16,2.279,2.28,2.2675,2.268,248200,TREND_DOWN,,
2024-04-17,2.268,2.2725,2.256,2.26,288000,TREND_DOWN,,
2024-04-19,2.26,2.26,2.242,2.254,228600,TREND_DOWN_(M),,
2024-04-22,2.254,2.253,2.2401,2.243,122700,TREND_DOWN,,
2024-04-23,2.243,2.24,2.215,2.22,189300,TREND_DOWN,BOTTOM,Bx
2024-04-25,2.22,2.28,2.22,2.256,273100,TREND_UP_(M),,
2024-04-26,2.256,2.31,2.2525,2.3025,245000,TREND_UP,,
2024-04-29,2.3025,2.38,2.325,2.35,177500,TREND_UP,TOP,
2024-04-30,2.35,2.348,2.2975,2.3025,156200,TREND_DOWN,,
2024-05-06,2.3025,2.311,2.295,2.305,183000,TREND_DOWN,,
2024-05-08,2.305,2.305,2.285,2.298,227000,TREND_DOWN_(M),BOTTOM,
2024-05-09,2.298,2.319,2.295,2.314,252400,TREND_UP,,
2024-05-10,2.314,2.325,2.3045,2.32,234900,TREND_UP,TOP,Tx
2024-05-13,2.32,2.31,2.287,2.292,256900,TREND_DOWN,,
